tree_id,legal_status,species,address,site_order,site_info,caretaker,date,dbh,plot_size,latitude,longitude
99001,DPW Maintained,Lophostemon confertus :: Brisbane Box,2190X North Point St,7,Sidewalk: Curb side : Cutout,DPW for City Agency,4/18/2011,,3x3,37.802851,-122.4432473
253633,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1909 Judah St,1,Sidewalk: Curb side : Cutout,Private,5/22/2019,,3x3,37.76131061,-122.4826175
96059,Permitted Site,Afrocarpus gracilior :: Fern Pine,101 Montcalm St,1,Sidewalk: Curb side : Cutout,Private,8/3/2011,,3x3,37.74656038,-122.4064844
37613,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,423 17th Ave,1,Sidewalk: Curb side : Cutout,Private,6/26/1998,7,,37.77994958,-122.4762066
64585,Permitted Site,Ginkgo biloba :: Maidenhair Tree,3370 22nd St,1,Sidewalk: Curb side : Cutout,Private,10/24/1991,,,37.75527555,-122.4225747
34097,Permitted Site,Prunus serrulata :: Ornamental Cherry,600 Miramar Ave,2,Sidewalk: Curb side : Cutout,Private,7/5/1997,,,37.72761803,-122.4580983
68438,Permitted Site,Prunus cerasifera :: Cherry Plum,184 Edgewood Ave,1,Sidewalk: Curb side : Cutout,Private,8/26/1993,,,37.76261214,-122.4548568
68831,Permitted Site,Agonis flexuosa :: Peppermint Willow,118 Flood Ave,1,Sidewalk: Curb side : Cutout,Private,11/30/1993,,,37.72997949,-122.4424732
36501,Permitted Site,Prunus cerasifera :: Cherry Plum,202 Anderson St,1,Sidewalk: Curb side : Cutout,Private,5/18/1998,,,37.74030861,-122.4152642
32352,Permitted Site,Lophostemon confertus :: Brisbane Box,2180 Bryant St,2,Sidewalk: Curb side : Cutout,Private,10/3/1996,,,37.75942549,-122.4099577
18473,DPW Maintained,Magnolia grandiflora 'Saint Mary' :: Saint Mary Magnolia,1255 Potrero Ave,1,Sidewalk: Curb side : Cutout,DPW,11/15/2013,3,3x3,37.75228543,-122.4061148
108570,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,40 Sweeny St,1,Sidewalk: Curb side : Cutout,Private,12/24/2014,3,3x3,37.73329662,-122.4070731
32787,Permitted Site,Platanus x hispanica :: Sycamore: London Plane,1661 Fulton St,1,Sidewalk: Curb side : Cutout,Private,10/29/1996,,,37.7760287,-122.4441158
56394,DPW Maintained,Fraxinus oxycarpa 'Raywood' :: Raywood Ash,1371 Thomas Ave,1,Sidewalk: Curb side : Cutout,Private,8/17/1973,11,,37.72790014,-122.3870336
58135,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,2900 Clay St,1,Sidewalk: Curb side : Cutout,Private,2/27/1978,12,,37.78991877,-122.4409783
